gene_symbol	Ctrl
ADAP1	6.898057297297298
ADAP2	8.437721081081081
ADAR	11.95162810810811
ADARB1	7.51085864864865
ADARB2	4.413543513513512
ADAT1	7.289742702702702
ADAT2	5.544277837837838
ADAT3	5.865020000000001
ADCK1	6.665432702702702
ADCK2	5.54013054054054
ADCK3	8.569410810810808
ADCK4	7.11018945945946
ADCK5	5.146022972972973
ADCY1	5.359177567567568
ADCY10	4.407667027027027
ADCY10P1	6.562624324324326
ADCY2	5.254730540540541
ADCY3	5.079951621621623
ADCY4	7.205812162162162
ADCY5	5.4153667567567565
ADCY6	5.964734864864865
ADCY7	10.183859459459457
ADCY8	4.502876486486485
ADCY9	6.779287027027025
ADCYAP1	4.8527859459459455
ADCYAP1R1	5.5679764864864865
ADD1	9.02516027027027
ADD2	5.50212891891892
ADD3	10.654106486486482
ADD3-AS1	4.729392432432432
ADGB	3.559984324324324
ADH1A	4.323594054054053
ADH1B	3.4411340540540536
ADH1C	3.918858108108108
ADH4	6.498494864864864
ADH5	7.6860599999999994
ADH6	4.901562432432432
ADH7	4.529228108108109
ADHFE1	7.474059189189191
ADI1	8.862962162162164
ADIPOQ	3.7452670270270265
ADIPOR1	9.880258108108109
ADIPOR2	8.806196216216216
ADIRF	4.632818648648649
ADIRF-AS1	5.604268378378378
ADK	7.927413243243241
ADM	10.19516621621622
ADM2	6.867407297297298
ADM5	5.748181351351351
ADNP	8.254474594594594
ADNP2	7.271115135135136
ADO	7.28928810810811
ADORA1	5.791923513513515
ADORA2A	7.618711351351349
ADORA2A-AS1	5.308273243243247
ADORA2B	5.393467567567567
ADORA3	5.072713783783785
ADPGK	6.69059081081081
ADPRH	5.101735405405407
ADPRHL1	6.163600810810809
ADPRHL2	8.54502864864865
ADPRM	6.931658378378377
ADRA1A	4.064515405405406
ADRA1B	3.9957943243243244
ADRA1D	4.071124864864865
ADRA2A	4.033800540540541
ADRA2B	6.173085945945945
ADRA2C	5.604017297297295
ADRB1	3.7968416216216205
ADRB2	9.012864324324322
ADRB3	5.9734513513513505
ADRBK1	7.689348378378379
ADRBK2	9.137397027027026
ADRM1	7.920177297297299
ADSL	9.562605135135135
ADSS	9.187100810810813
ADSSL1	5.797596216216215
ADTRP	6.5704772972972965
AEBP1	6.270366756756756
AEBP2	7.805376486486486
AEN	6.7699067567567575
AES	7.795612702702702
AF001548.5	7.7668051351351375
AF007147	8.984869999999997
AF067845.1	3.8704181081081077
AF070581	3.301071621621622
AF086102	4.459562702702703
AF086126	3.9356094594594593
AF086288	4.994255405405406
AF090939	4.671737027027026
AF131215.3	3.8457102702702697
AF131215.8	3.936816216216216
AF186192.1	5.535635405405405
AF198444	3.7521905405405422
AF279780	3.70184054054054
AFAP1	3.532633783783784
AFAP1-AS1	5.487640810810811
AFAP1L1	3.845525945945946
AFAP1L2	4.310372972972973
