"gene","t_statistic"
"LOC100287718",1.57764289766482
"ANKRD27",1.57761022190675
"LOC100289026",1.57753340769507
"BICC1",1.57726491219554
"TIGD5",1.57720224979223
"TRIM47",1.57707674135553
"XLOC_000980",1.57701305496071
"SMTNL1",1.57646303102472
"XLOC_004132",1.57643467685516
"ZC3HAV1",1.57551914975518
"XLOC_010361",1.5755084272194
"XLOC_003475",1.57497188464243
"LOC100506659",1.5746716703296
"DCX",1.57455968531964
"XLOC_012559",1.57436663298133
"XLOC_008793",1.5741738946513
"SNORD98",1.57381488772202
"JMJD7",1.57356746178412
"IFNAR1",1.57335246263209
"SETD4",1.57333989691599
"RNASET2",1.57309965045574
"LDHC",1.57261062882214
"DAPP1",1.57258274839483
"TNFRSF21",1.57247637839903
"XLOC_010920",1.57240889353988
"TAB2",1.57164965694522
"ZNF878",1.57131689742026
"XLOC_000253",1.57113753700364
"ISL2",1.57073950127778
"XLOC_l2_004951",1.57046618293136
"IRF6",1.57045682373887
"XLOC_011152",1.57030008187529
"XLOC_005934",1.57010458232242
"PLIN3",1.56998997702392
"LOC286002",1.56964685451592
"XLOC_010784",1.56963394394912
"XLOC_001046",1.56913754329581
"PRSS1",1.56888799946679
"ZNF674",1.5681024317746
"OR2F2",1.56756548622188
"XLOC_012012",1.56726122586213
"ATAD1",1.56725006653601
"GCOM1",1.56652198927277
"SLC35E3",1.56641858542426
"RPRD2",1.56596155231531
"VSIG4",1.565796084268
"SNORD103A",1.56565158638067
"XLOC_012716",1.56509960291737
"MB21D1",1.56496097174392
"LOC400620",1.56461394899745
"TNFRSF10C",1.5643877026769
"KLHL32",1.56415282402616
"GRM6",1.56374644416927
"LOC284513",1.56358985593177
"FAM201B",1.56334967977949
"RPA4",1.56308675460405
"BTBD7",1.56277664098973
"NAA15",1.56264721869189
"SLMO2",1.56256696331977
"XLOC_004215",1.56241173281652
"ZDHHC17",1.56219505513976
"XLOC_l2_014548",1.56115153221378
"XLOC_001134",1.56100722200707
"TGIF2LY",1.56029189414797
"XLOC_002953",1.56007394561937
"SMPDL3B",1.55968552719018
"XLOC_008353",1.55939811561552
"GLP1R",1.55883969875555
"SETBP1",1.55724963457572
"XLOC_l2_009160",1.55720326495851
"XLOC_011434",1.55653336254389
"XLOC_l2_010724",1.55617082525357
"XLOC_011614",1.55576974008537
"XLOC_004627",1.55557831205594
"XLOC_012009",1.55516391349483
"DHX36",1.55491753586101
"MED31",1.55462890341917
"ING5",1.55459541242056
"OR7E91P",1.5543675315982
"XPA",1.55415327131093
"RSBN1",1.55402947755779
"CCNY",1.55382499696508
"XLOC_000037",1.55340632770052
"XLOC_004278",1.55315338028722
"LOC100509323",1.55284048831146
"LOC390877",1.55195547468769
"LOC100506305",1.55124345953523
"XLOC_l2_012614",1.55083095395302
"RNF121",1.55014279934035
"XLOC_003773",1.54994963390818
"ST6GALNAC3",1.54986524347179
"XLOC_005260",1.54944474141285
"DKFZP547J0410",1.54914877568051
"MAPKAP1",1.54885509418117
"TMOD4",1.54837356521906
"INPP4B",1.54831835424501
"XLOC_004268",1.54785871047079
"PAPL",1.54767610745374
"CNOT6L",1.54708121044292
"SH3GLB1",1.54675300519468
"XLOC_004483",1.54656904766324
"XLOC_010143",1.54482206352223
"OR8I2",1.54456648750837
"TSPYL5",1.54447617037842
"SNX29",1.54428050934052
"LOC100129240",1.54425142025432
"OR4K13",1.54411309036655
"XLOC_013657",1.54345042255005
"XLOC_004925",1.54311600116181
"C7orf57",1.54279849308503
"DYNC2H1",1.54273722692895
"XLOC_000768",1.54219917065121
"XLOC_006333",1.54149669811081
"ZCCHC13",1.54149399840959
"CA10",1.54118885654311
"XLOC_008688",1.54112306251656
"GPR112",1.54075562732712
"DLGAP1",1.54030691334241
"SYVN1",1.53982232030554
"RDH5",1.53974041032422
"SNORD69",1.53972565762902
"XLOC_003897",1.53954933760239
"XLOC_l2_012929",1.53931277472711
"XLOC_005558",1.53924224964981
"CNPY1",1.53909873684382
"BPY2B",1.53907697140226
"WNT6",1.53895254433328
"SFTA3",1.53879984884806
"OR52N1",1.53862137957278
"LOC401242",1.53847256079791
"DBX2",1.53829169556528
"XLOC_002331",1.5382881971689
"P2RY13",1.53827571700518
"SLC10A4",1.53826168434402
"XLOC_l2_004757",1.53821772717206
"TRAM1L1",1.53748296323116
"XLOC_004894",1.53733410104292
"TAS2R16",1.53717824704637
"NKPD1",1.53666441795856
"EIF3A",1.53641415377701
"SYT6",1.53607001033275
"LOC646168",1.53592685906105
"LOC283663",1.53587375364535
"XLOC_l2_011424",1.53534977162243
"XLOC_013551",1.53499601219559
"LAX1",1.53455581619633
"HERC2P9",1.53455382552428
"XLOC_000312",1.53339699116935
"XLOC_001772",1.5331893525109
"LOC100129572",1.5331750536386
"GSTM2",1.53312293165069
"XLOC_011021",1.53301702597132
"C17orf102",1.53278642900639
"LINC00273",1.53269464128229
"SERPINA9",1.53248373931426
"PDZD3",1.53245918976802
"IL32",1.53230218287162
"XLOC_l2_014518",1.53192029511562
"NR1D1",1.53176204547267
"XLOC_006901",1.53101291252891
"PHOX2A",1.53100113332466
"SLFN13",1.53064177629839
"XLOC_009941",1.53023205712935
"NEK9",1.52980348988368
"XLOC_l2_001774",1.52974684142148
"XLOC_001374",1.52972883689922
"XLOC_006219",1.52956180155692
"GAFA2",1.52944421158826
"LOH12CR2",1.52935612120937
"PNPLA5",1.52914255797098
"XLOC_l2_015661",1.5287988102045
"XLOC_l2_007287",1.52822737660068
"XLOC_l2_005152",1.52813542932308
"OR52B4",1.52776409237567
"NUDT9",1.52755926154609
"XLOC_005541",1.52730254868528
"XLOC_003175",1.52722586692285
"XLOC_006508",1.526834603552
"XLOC_004950",1.52669746824137
"XLOC_001231",1.52652908506265
"XLOC_014277",1.52639093677258
"C17orf90",1.52627756655263
"METAP1",1.52614561500675
"XLOC_005647",1.52542972100723
"GOLGA6L1",1.52525425627895
"LOC100128950",1.52510412053815
"GIGYF1",1.52470220351044
"XLOC_012893",1.52439611944073
"XLOC_l2_010118",1.52426672855506
"LOC100129311",1.52339932087292
"C16orf3",1.52240584565658
"LOC100508227",1.52233196940908
"XLOC_l2_015529",1.52193975858538
"XLOC_013566",1.52147389608238
"GNPTG",1.52145213659294
"BTC",1.5212001510891
"XLOC_014056",1.51986257555425
"CLDN19",1.51866789948261
"XLOC_001262",1.51831487405306
"PBOV1",1.51805982720943
"XLOC_007432",1.51799753739302
"C1orf159",1.51762637302809
"ZSCAN22",1.51753563329594
"XLOC_007090",1.51721511822395
"CHODL",1.51618250839078
"LOC100288728",1.51571023375097
"PEX5L-AS2",1.51555123590139
"RRP1B",1.51554686383398
"XLOC_000099",1.51452178008681
"FLOT1",1.51381334721648
"XLOC_008382",1.51377552135291
